GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-geolocalizacion,com.sanosysalvos.geolocalizacion.service,GeolocalizacionService,0,52,0,0,0,11,0,5,0,5
ms-geolocalizacion,com.sanosysalvos.geolocalizacion,GeolocalizacionApplication,5,3,0,0,2,1,1,1,1,1
ms-geolocalizacion,com.sanosysalvos.geolocalizacion.controller,GeolocalizacionController,0,34,0,0,0,8,0,4,0,4
