GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-mascotas,com.sanosysalvos.mascotas.controller,MascotaController,0,34,0,0,0,8,0,4,0,4
ms-mascotas,com.sanosysalvos.mascotas,MascotasApplication,5,7,0,0,2,2,1,2,1,2
ms-mascotas,com.sanosysalvos.mascotas.service,MascotaService,0,71,0,0,0,16,0,5,0,5
ms-mascotas,com.sanosysalvos.mascotas.service,CoincidenciaClientService,6,198,12,28,1,40,12,11,0,3
